Release Date,Test Name,Time (ms),work_mem (bytes),Release Tag,Test Timestamp,Test Result,Release Tag Containing,Release Timestamp
2001-05-05,seqscan_x8,2602.71,2048,REL7_1_3,2016-03-04T17:05:59,11885296,REL7_1_3,2001-05-05T02:57:40
2001-05-05,seqscan_x8,2603.49,2048,REL7_1_3,2016-03-04T17:05:59,11885296,REL7_1_3,2001-05-05T02:57:40
2001-05-05,seqscan_x8,2602.71,2048,REL7_1_3,2016-03-04T17:05:59,11885296,REL7_1_3,2001-05-05T02:57:40
2001-05-05,seqscan_x8,2603.34,2048,REL7_1_3,2016-03-04T17:05:59,11885296,REL7_1_3,2001-05-05T02:57:40
2001-05-05,sort_text_x8,542585.4,2048,REL7_1_3,2016-03-04T17:05:59,1485662,REL7_1_3,2001-05-05T02:57:40
2001-05-05,sort_integer_x8,43596.1,2048,REL7_1_3,2016-03-04T17:05:59,1485662,REL7_1_3,2001-05-05T02:57:40
2001-05-05,sort_float_x8,48976.08,2048,REL7_1_3,2016-03-04T17:05:59,228306,REL7_1_3,2001-05-05T02:57:40
2001-05-05,sort_text_x8,534746.38,2048,REL7_1_3,2016-03-04T17:05:59,1485662,REL7_1_3,2001-05-05T02:57:40
2001-05-05,sort_integer_x8,43805.21,2048,REL7_1_3,2016-03-04T17:05:59,1485662,REL7_1_3,2001-05-05T02:57:40
2001-05-05,sort_float_x8,49105.54,2048,REL7_1_3,2016-03-04T17:05:59,228306,REL7_1_3,2001-05-05T02:57:40
2001-05-05,sort_integer_x8,44464.43,2048,REL7_1_3,2016-03-04T17:05:59,1485662,REL7_1_3,2001-05-05T02:57:40
2001-05-05,sort_float_x8,47705.18,2048,REL7_1_3,2016-03-04T17:05:59,228306,REL7_1_3,2001-05-05T02:57:40
2001-05-05,sort_text_x8,534415.73,2048,REL7_1_3,2016-03-04T17:05:59,1485662,REL7_1_3,2001-05-05T02:57:40
2001-05-05,sort_t100_x8,533291.96,2048,REL7_1_3,2016-03-04T17:05:59,13,REL7_1_3,2001-05-05T02:57:40
2001-05-05,sort_t100_x8,533509.94,2048,REL7_1_3,2016-03-04T17:05:59,13,REL7_1_3,2001-05-05T02:57:40
2001-05-05,sort_t100_x8,533471.17,2048,REL7_1_3,2016-03-04T17:05:59,13,REL7_1_3,2001-05-05T02:57:40
2001-05-05,seqscan_x8,2634.31,2048,REL7_1_3,2016-03-04T17:05:59,11885296,REL7_1_3,2001-05-05T02:57:40
2001-05-05,seqscan_x8,2602.82,2048,REL7_1_3,2016-03-04T17:05:59,11885296,REL7_1_3,2001-05-05T02:57:40
2001-05-05,seqscan_x8,2579.77,2048,REL7_1_3,2016-03-04T18:04:37,11885296,REL7_1_3,2001-05-05T02:57:40
2001-05-05,seqscan_x8,2579.51,2048,REL7_1_3,2016-03-04T18:04:37,11885296,REL7_1_3,2001-05-05T02:57:40
2001-05-05,seqscan_x8,2580.23,2048,REL7_1_3,2016-03-04T18:04:37,11885296,REL7_1_3,2001-05-05T02:57:40
2001-05-05,seqscan_x8,2579.42,2048,REL7_1_3,2016-03-04T18:04:37,11885296,REL7_1_3,2001-05-05T02:57:40
2001-05-05,sort_text_x8,541019.45,2048,REL7_1_3,2016-03-04T18:04:37,1485662,REL7_1_3,2001-05-05T02:57:40
2001-05-05,sort_integer_x8,44377.04,2048,REL7_1_3,2016-03-04T18:04:37,1485662,REL7_1_3,2001-05-05T02:57:40
2001-05-05,sort_float_x8,46978.53,2048,REL7_1_3,2016-03-04T18:04:37,228306,REL7_1_3,2001-05-05T02:57:40
2001-05-05,sort_text_x8,535210.15,2048,REL7_1_3,2016-03-04T18:04:37,1485662,REL7_1_3,2001-05-05T02:57:40
2001-05-05,sort_integer_x8,44677.27,2048,REL7_1_3,2016-03-04T18:04:37,1485662,REL7_1_3,2001-05-05T02:57:40
2001-05-05,sort_float_x8,47617.31,2048,REL7_1_3,2016-03-04T18:04:37,228306,REL7_1_3,2001-05-05T02:57:40
2001-05-05,sort_integer_x8,44030.11,2048,REL7_1_3,2016-03-04T18:04:37,1485662,REL7_1_3,2001-05-05T02:57:40
2001-05-05,sort_float_x8,46422.13,2048,REL7_1_3,2016-03-04T18:04:37,228306,REL7_1_3,2001-05-05T02:57:40
2001-05-05,sort_text_x8,535498.85,2048,REL7_1_3,2016-03-04T18:04:37,1485662,REL7_1_3,2001-05-05T02:57:40
2001-05-05,sort_t100_x8,535169.06,2048,REL7_1_3,2016-03-04T18:04:37,13,REL7_1_3,2001-05-05T02:57:40
2001-05-05,sort_t100_x8,535003.17,2048,REL7_1_3,2016-03-04T18:04:37,13,REL7_1_3,2001-05-05T02:57:40
