Release Date	Test Name	Time (ms)	work_mem (bytes)	Release Tag	Test Timestamp	Test Result	Release Tag Containing
2000-08-03	seqscan	533.76	1521317888	REL7_1~1964	2016-02-18T19:16:50	1485662	REL7_1~1964
2000-08-03	sort_text	84175.85	1521317888	REL7_1~1964	2016-02-18T19:16:50	1485662	REL7_1~1964
2000-08-03	sort_integer	11936.4	1521317888	REL7_1~1964	2016-02-18T19:16:50	1485662	REL7_1~1964
2000-08-03	sort_float	11862.25	1521317888	REL7_1~1964	2016-02-18T19:16:50	228306	REL7_1~1964
2000-08-03	sort_text	83935.34	1521317888	REL7_1~1964	2016-02-18T19:16:50	1485662	REL7_1~1964
2000-08-03	sort_integer	11663.14	1521317888	REL7_1~1964	2016-02-18T19:16:50	1485662	REL7_1~1964
2000-08-03	sort_float	12319.7	1521317888	REL7_1~1964	2016-02-18T19:16:50	228306	REL7_1~1964
2000-08-03	sort_t100	84155.22	1521317888	REL7_1~1964	2016-02-18T19:16:50	100	REL7_1~1964
2000-08-03	sort_t100	83186.38	1521317888	REL7_1~1964	2016-02-18T19:16:50	100	REL7_1~1964
2000-08-03	seqscan	521.1	1521317888	REL7_1~1964	2016-02-19T01:45:34	1485662	REL7_1~1964
2000-08-03	sort_text	84782.91	1521317888	REL7_1~1964	2016-02-19T01:45:34	1485662	REL7_1~1964
2000-08-03	sort_integer	12043.39	1521317888	REL7_1~1964	2016-02-19T01:45:34	1485662	REL7_1~1964
2000-08-03	sort_float	11951.28	1521317888	REL7_1~1964	2016-02-19T01:45:34	228306	REL7_1~1964
2000-08-03	sort_text	84027.99	1521317888	REL7_1~1964	2016-02-19T01:45:34	1485662	REL7_1~1964
2000-08-03	sort_integer	11628.55	1521317888	REL7_1~1964	2016-02-19T01:45:34	1485662	REL7_1~1964
2000-08-03	sort_float	12121.93	1521317888	REL7_1~1964	2016-02-19T01:45:34	228306	REL7_1~1964
2000-08-03	sort_t100	85226.8	1521317888	REL7_1~1964	2016-02-19T01:45:34	100	REL7_1~1964
2000-08-03	sort_t100	83618.08	1521317888	REL7_1~1964	2016-02-19T01:45:34	100	REL7_1~1964
2000-08-03	seqscan	725.44	1521317888	REL7_1~1964	2016-02-19T08:09:21	1485662	REL7_1~1964
2000-08-03	sort_text	89658.78	1521317888	REL7_1~1964	2016-02-19T08:09:21	1485662	REL7_1~1964
2000-08-03	sort_integer	12236.08	1521317888	REL7_1~1964	2016-02-19T08:09:21	1485662	REL7_1~1964
2000-08-03	sort_float	12013.49	1521317888	REL7_1~1964	2016-02-19T08:09:21	228306	REL7_1~1964
2000-08-03	sort_text	92789.88	1521317888	REL7_1~1964	2016-02-19T08:09:21	1485662	REL7_1~1964
2000-08-03	sort_integer	12685.33	1521317888	REL7_1~1964	2016-02-19T08:09:21	1485662	REL7_1~1964
2000-08-03	sort_float	12694.7	1521317888	REL7_1~1964	2016-02-19T08:09:21	228306	REL7_1~1964
2000-08-03	sort_t100	93424.76	1521317888	REL7_1~1964	2016-02-19T08:09:21	100	REL7_1~1964
2000-08-03	sort_t100	90847.84	1521317888	REL7_1~1964	2016-02-19T08:09:21	100	REL7_1~1964
2000-10-02	sort_text	23798.36	1521317888	REL7_1~1748	2016-02-18T12:22:41	319891	REL7_1~1748
2000-10-02	sort_integer	14243.05	1521317888	REL7_1~1748	2016-02-18T12:22:41	1485662	REL7_1~1748
2000-10-02	sort_float	13349.47	1521317888	REL7_1~1748	2016-02-18T12:22:41	228306	REL7_1~1748
2000-10-02	sort_text	25511.82	1521317888	REL7_1~1748	2016-02-18T12:22:41	319891	REL7_1~1748
2000-10-02	sort_integer	14450.4	1521317888	REL7_1~1748	2016-02-18T12:22:41	1485662	REL7_1~1748
2000-10-02	sort_float	13971.97	1521317888	REL7_1~1748	2016-02-18T12:22:41	228306	REL7_1~1748
2000-10-02	seqscan	540.81	1521317888	REL7_1~1748	2016-02-18T22:22:43	1485662	REL7_1~1748
