Release Date	Test Name	Time (ms)	work_mem (bytes)	Release Tag	Test Timestamp	Test Result	Release Tag Containing
2000-11-12	seqscan	550.76	1521317888	REL7_1~1345	2016-02-21T19:55:59	1485662	REL7_1~1345
2000-11-12	seqscan	552.67	1521317888	REL7_1~1345	2016-02-21T19:55:59	1485662	REL7_1~1345
2000-11-12	seqscan	572.8	1521317888	REL7_1~1345	2016-02-21T19:55:59	1485662	REL7_1~1345
2000-11-12	sort_text	85494.23	1521317888	REL7_1~1345	2016-02-21T19:55:59	1485662	REL7_1~1345
2000-11-12	sort_integer	11926.2	1521317888	REL7_1~1345	2016-02-21T19:55:59	1485662	REL7_1~1345
2000-11-12	sort_float	11937.43	1521317888	REL7_1~1345	2016-02-21T19:55:59	228306	REL7_1~1345
2000-11-12	sort_text	85064.59	1521317888	REL7_1~1345	2016-02-21T19:55:59	1485662	REL7_1~1345
2000-11-12	sort_integer	12103.87	1521317888	REL7_1~1345	2016-02-21T19:55:59	1485662	REL7_1~1345
2000-11-12	sort_float	12144.96	1521317888	REL7_1~1345	2016-02-21T19:55:59	228306	REL7_1~1345
2000-11-12	sort_integer	12126.19	1521317888	REL7_1~1345	2016-02-21T19:55:59	1485662	REL7_1~1345
2000-11-12	sort_float	12693.85	1521317888	REL7_1~1345	2016-02-21T19:55:59	228306	REL7_1~1345
2000-11-12	sort_text	86287.02	1521317888	REL7_1~1345	2016-02-21T19:55:59	1485662	REL7_1~1345
2000-11-12	sort_t100	85943.9	1521317888	REL7_1~1345	2016-02-21T19:55:59	100	REL7_1~1345
2000-11-12	sort_t100	85914.71	1521317888	REL7_1~1345	2016-02-21T19:55:59	100	REL7_1~1345
2000-11-12	sort_t100	85929.98	1521317888	REL7_1~1345	2016-02-21T19:55:59	100	REL7_1~1345
2000-11-12	seqscan	553.88	1521317888	REL7_1~1345	2016-02-21T20:05:59	1485662	REL7_1~1345
2000-11-12	seqscan	550.8	1521317888	REL7_1~1345	2016-02-21T20:05:59	1485662	REL7_1~1345
2000-11-12	seqscan	551.51	1521317888	REL7_1~1345	2016-02-21T20:05:59	1485662	REL7_1~1345
2000-11-12	sort_text	87473.9	1521317888	REL7_1~1345	2016-02-21T20:05:59	1485662	REL7_1~1345
2000-11-12	sort_integer	12078.95	1521317888	REL7_1~1345	2016-02-21T20:05:59	1485662	REL7_1~1345
2000-11-12	sort_float	12191.33	1521317888	REL7_1~1345	2016-02-21T20:05:59	228306	REL7_1~1345
2000-11-12	sort_text	86383.52	1521317888	REL7_1~1345	2016-02-21T20:05:59	1485662	REL7_1~1345
2000-11-12	sort_integer	11909.27	1521317888	REL7_1~1345	2016-02-21T20:05:59	1485662	REL7_1~1345
2000-11-12	sort_float	12645.92	1521317888	REL7_1~1345	2016-02-21T20:05:59	228306	REL7_1~1345
2000-11-12	sort_integer	12521.4	1521317888	REL7_1~1345	2016-02-21T20:05:59	1485662	REL7_1~1345
2000-11-12	sort_float	12172.23	1521317888	REL7_1~1345	2016-02-21T20:05:59	228306	REL7_1~1345
2000-11-12	sort_text	86342.15	1521317888	REL7_1~1345	2016-02-21T20:05:59	1485662	REL7_1~1345
2000-11-12	sort_t100	85917.93	1521317888	REL7_1~1345	2016-02-21T20:05:59	100	REL7_1~1345
2000-11-12	sort_t100	85863.4	1521317888	REL7_1~1345	2016-02-21T20:05:59	100	REL7_1~1345
2000-11-12	sort_t100	85446.6	1521317888	REL7_1~1345	2016-02-21T20:05:59	100	REL7_1~1345
2001-01-02	seqscan	531.88	1521317888	REL7_1~943	2016-02-20T00:46:04	1485662	REL7_1~943
2001-01-02	seqscan	544.28	1521317888	REL7_1~943	2016-02-20T00:46:04	1485662	REL7_1~943
2001-01-02	sort_text	100402.67	1521317888	REL7_1~943	2016-02-20T00:46:04	1485662	REL7_1~943
2001-01-02	sort_integer	13787.2	1521317888	REL7_1~943	2016-02-20T00:46:04	1485662	REL7_1~943
2001-01-02	sort_float	13228.69	1521317888	REL7_1~943	2016-02-20T00:46:04	228306	REL7_1~943
2001-01-02	sort_text	91150.99	1521317888	REL7_1~943	2016-02-20T00:46:04	1485662	REL7_1~943
2001-01-02	sort_integer	13444	1521317888	REL7_1~943	2016-02-20T00:46:04	1485662	REL7_1~943
2001-01-02	sort_float	13797.25	1521317888	REL7_1~943	2016-02-20T00:46:04	228306	REL7_1~943
2001-01-02	sort_t100	91452.3	1521317888	REL7_1~943	2016-02-20T00:46:04	100	REL7_1~943
2001-01-02	sort_t100	90014.9	1521317888	REL7_1~943	2016-02-20T00:46:04	100	REL7_1~943
2001-01-02	seqscan	756.14	1521317888	REL7_1~943	2016-02-20T11:39:38	1485662	REL7_1~943
2001-01-02	seqscan	758.53	1521317888	REL7_1~943	2016-02-20T11:39:38	1485662	REL7_1~943
2001-01-02	sort_text	100571.94	1521317888	REL7_1~943	2016-02-20T11:39:38	1485662	REL7_1~943
2001-01-02	sort_integer	13561.02	1521317888	REL7_1~943	2016-02-20T11:39:38	1485662	REL7_1~943
2001-01-02	sort_float	13634.92	1521317888	REL7_1~943	2016-02-20T11:39:38	228306	REL7_1~943
2001-01-02	sort_text	90718.22	1521317888	REL7_1~943	2016-02-20T11:39:38	1485662	REL7_1~943
2001-01-02	sort_integer	13501.92	1521317888	REL7_1~943	2016-02-20T11:39:38	1485662	REL7_1~943
2001-01-02	sort_float	13487.19	1521317888	REL7_1~943	2016-02-20T11:39:38	228306	REL7_1~943
2001-01-02	sort_t100	90869.38	1521317888	REL7_1~943	2016-02-20T11:39:38	100	REL7_1~943
2001-01-02	sort_t100	91437.67	1521317888	REL7_1~943	2016-02-20T11:39:38	100	REL7_1~943
2001-01-02	seqscan	497.41	1521317888	REL7_1~943	2016-02-20T15:22:02	1485662	REL7_1~943
2001-01-02	seqscan	496.04	1521317888	REL7_1~943	2016-02-20T15:22:02	1485662	REL7_1~943
2001-01-02	sort_text	86135.62	1521317888	REL7_1~943	2016-02-20T15:22:02	1485662	REL7_1~943
2001-01-02	sort_integer	11228.86	1521317888	REL7_1~943	2016-02-20T15:22:02	1485662	REL7_1~943
2001-01-02	sort_float	11288.96	1521317888	REL7_1~943	2016-02-20T15:22:02	228306	REL7_1~943
2001-01-02	sort_text	73839.25	1521317888	REL7_1~943	2016-02-20T15:22:02	1485662	REL7_1~943
2001-01-02	sort_integer	11154.72	1521317888	REL7_1~943	2016-02-20T15:22:02	1485662	REL7_1~943
2001-01-02	sort_float	11297.21	1521317888	REL7_1~943	2016-02-20T15:22:02	228306	REL7_1~943
2001-01-02	sort_t100	73554.79	1521317888	REL7_1~943	2016-02-20T15:22:02	100	REL7_1~943
2001-01-02	sort_t100	74075.01	1521317888	REL7_1~943	2016-02-20T15:22:02	100	REL7_1~943
2001-01-02	seqscan	523.37	1521317888	REL7_1~943	2016-02-21T18:48:13	1485662	REL7_1~943
2001-01-02	seqscan	522.18	1521317888	REL7_1~943	2016-02-21T18:48:13	1485662	REL7_1~943
2001-01-02	seqscan	521.5	1521317888	REL7_1~943	2016-02-21T18:48:13	1485662	REL7_1~943
2001-01-02	sort_text	88319.79	1521317888	REL7_1~943	2016-02-21T18:48:13	1485662	REL7_1~943
2001-01-02	sort_integer	12164.56	1521317888	REL7_1~943	2016-02-21T18:48:13	1485662	REL7_1~943
2001-01-02	sort_float	11870.15	1521317888	REL7_1~943	2016-02-21T18:48:13	228306	REL7_1~943
2001-01-02	sort_text	80466.3	1521317888	REL7_1~943	2016-02-21T18:48:13	1485662	REL7_1~943
2001-01-02	sort_integer	11142.85	1521317888	REL7_1~943	2016-02-21T18:48:13	1485662	REL7_1~943
2001-01-02	sort_float	11410.9	1521317888	REL7_1~943	2016-02-21T18:48:13	228306	REL7_1~943
2001-01-02	sort_integer	11284.58	1521317888	REL7_1~943	2016-02-21T18:48:13	1485662	REL7_1~943
2001-01-02	sort_float	11425.65	1521317888	REL7_1~943	2016-02-21T18:48:13	228306	REL7_1~943
2001-01-02	sort_text	76991.13	1521317888	REL7_1~943	2016-02-21T18:48:13	1485662	REL7_1~943
2001-01-02	sort_t100	75101.14	1521317888	REL7_1~943	2016-02-21T18:48:13	100	REL7_1~943
2001-01-02	sort_t100	74849.69	1521317888	REL7_1~943	2016-02-21T18:48:13	100	REL7_1~943
2001-01-02	sort_t100	74578.6	1521317888	REL7_1~943	2016-02-21T18:48:13	100	REL7_1~943
2001-01-02	seqscan	515.76	1521317888	REL7_1~943	2016-02-21T18:57:28	1485662	REL7_1~943
2001-01-02	seqscan	523.35	1521317888	REL7_1~943	2016-02-21T18:57:28	1485662	REL7_1~943
2001-01-02	seqscan	518.17	1521317888	REL7_1~943	2016-02-21T18:57:28	1485662	REL7_1~943
2001-01-02	sort_text	88508.54	1521317888	REL7_1~943	2016-02-21T18:57:28	1485662	REL7_1~943
2001-01-02	sort_integer	11751.72	1521317888	REL7_1~943	2016-02-21T18:57:28	1485662	REL7_1~943
2001-01-02	sort_float	12120.68	1521317888	REL7_1~943	2016-02-21T18:57:28	228306	REL7_1~943
2001-01-02	sort_text	80596.97	1521317888	REL7_1~943	2016-02-21T18:57:28	1485662	REL7_1~943
2001-01-02	sort_integer	11431.28	1521317888	REL7_1~943	2016-02-21T18:57:28	1485662	REL7_1~943
2001-01-02	sort_float	11950.66	1521317888	REL7_1~943	2016-02-21T18:57:28	228306	REL7_1~943
2001-01-02	sort_integer	11299.14	1521317888	REL7_1~943	2016-02-21T18:57:28	1485662	REL7_1~943
2001-01-02	sort_float	11586.18	1521317888	REL7_1~943	2016-02-21T18:57:28	228306	REL7_1~943
2001-01-02	sort_text	75699.72	1521317888	REL7_1~943	2016-02-21T18:57:28	1485662	REL7_1~943
2001-01-02	sort_t100	73846.06	1521317888	REL7_1~943	2016-02-21T18:57:28	100	REL7_1~943
2001-01-02	sort_t100	74403.92	1521317888	REL7_1~943	2016-02-21T18:57:28	100	REL7_1~943
2001-01-02	sort_t100	74542.86	1521317888	REL7_1~943	2016-02-21T18:57:28	100	REL7_1~943
2001-02-10	seqscan	515.07	1521317888	REL7_1~494	2016-02-21T16:20:55	1485662	REL7_1~494
2001-02-10	seqscan	516.22	1521317888	REL7_1~494	2016-02-21T16:20:55	1485662	REL7_1~494
2001-02-10	seqscan	514.75	1521317888	REL7_1~494	2016-02-21T16:20:55	1485662	REL7_1~494
2001-02-10	sort_text	88316.45	1521317888	REL7_1~494	2016-02-21T16:20:55	1485662	REL7_1~494
2001-02-10	sort_integer	11337.82	1521317888	REL7_1~494	2016-02-21T16:20:55	1485662	REL7_1~494
2001-02-10	sort_float	11771.95	1521317888	REL7_1~494	2016-02-21T16:20:55	228306	REL7_1~494
2001-02-10	sort_text	86446.15	1521317888	REL7_1~494	2016-02-21T16:20:55	1485662	REL7_1~494
2001-02-10	sort_integer	11854.05	1521317888	REL7_1~494	2016-02-21T16:20:55	1485662	REL7_1~494
2001-02-10	sort_float	11821.09	1521317888	REL7_1~494	2016-02-21T16:20:55	228306	REL7_1~494
2001-02-10	sort_integer	12440.81	1521317888	REL7_1~494	2016-02-21T16:20:55	1485662	REL7_1~494
2001-02-10	sort_float	11919.5	1521317888	REL7_1~494	2016-02-21T16:20:55	228306	REL7_1~494
2001-02-10	sort_text	85639.35	1521317888	REL7_1~494	2016-02-21T16:20:55	1485662	REL7_1~494
2001-02-10	sort_t100	86299.88	1521317888	REL7_1~494	2016-02-21T16:20:55	100	REL7_1~494
2001-02-10	sort_t100	85217.13	1521317888	REL7_1~494	2016-02-21T16:20:55	100	REL7_1~494
2001-02-10	sort_t100	86718.98	1521317888	REL7_1~494	2016-02-21T16:20:55	100	REL7_1~494
2001-02-10	seqscan	509.66	1521317888	REL7_1~494	2016-02-21T16:30:55	1485662	REL7_1~494
2001-02-10	seqscan	509.77	1521317888	REL7_1~494	2016-02-21T16:30:55	1485662	REL7_1~494
2001-02-10	seqscan	508.67	1521317888	REL7_1~494	2016-02-21T16:30:55	1485662	REL7_1~494
2001-02-10	sort_text	96669.02	1521317888	REL7_1~494	2016-02-21T16:30:55	1485662	REL7_1~494
2001-02-10	sort_integer	11776.66	1521317888	REL7_1~494	2016-02-21T16:30:55	1485662	REL7_1~494
2001-02-10	sort_float	11746.94	1521317888	REL7_1~494	2016-02-21T16:30:55	228306	REL7_1~494
2001-02-10	sort_text	85541.51	1521317888	REL7_1~494	2016-02-21T16:30:55	1485662	REL7_1~494
2001-02-10	sort_integer	12493.76	1521317888	REL7_1~494	2016-02-21T16:30:55	1485662	REL7_1~494
2001-02-10	sort_float	12470.13	1521317888	REL7_1~494	2016-02-21T16:30:55	228306	REL7_1~494
2001-02-10	sort_integer	12430.03	1521317888	REL7_1~494	2016-02-21T16:30:55	1485662	REL7_1~494
2001-02-10	sort_float	12402.85	1521317888	REL7_1~494	2016-02-21T16:30:55	228306	REL7_1~494
2001-02-10	sort_text	86034.54	1521317888	REL7_1~494	2016-02-21T16:30:55	1485662	REL7_1~494
2001-02-10	sort_t100	85449.56	1521317888	REL7_1~494	2016-02-21T16:30:55	100	REL7_1~494
2001-02-10	sort_t100	86351.99	1521317888	REL7_1~494	2016-02-21T16:30:55	100	REL7_1~494
2001-02-10	sort_t100	85676.17	1521317888	REL7_1~494	2016-02-21T16:30:55	100	REL7_1~494
2001-04-02	seqscan	538.46	1521317888	REL7_1~45	2016-02-20T00:16:22	1485662	REL7_1~45
2001-04-02	seqscan	660.59	1521317888	REL7_1~45	2016-02-20T00:16:22	1485662	REL7_1~45
2001-04-02	sort_text	101993.4	1521317888	REL7_1~45	2016-02-20T00:16:22	1485662	REL7_1~45
2001-04-02	sort_integer	13628.55	1521317888	REL7_1~45	2016-02-20T00:16:22	1485662	REL7_1~45
2001-04-02	sort_float	13162.14	1521317888	REL7_1~45	2016-02-20T00:16:22	228306	REL7_1~45
2001-04-02	sort_text	91875.91	1521317888	REL7_1~45	2016-02-20T00:16:22	1485662	REL7_1~45
2001-04-02	sort_integer	13578.23	1521317888	REL7_1~45	2016-02-20T00:16:22	1485662	REL7_1~45
2001-04-02	sort_float	13733.11	1521317888	REL7_1~45	2016-02-20T00:16:22	228306	REL7_1~45
2001-04-02	sort_t100	91239.22	1521317888	REL7_1~45	2016-02-20T00:16:22	100	REL7_1~45
2001-04-02	sort_t100	91524.1	1521317888	REL7_1~45	2016-02-20T00:16:22	100	REL7_1~45
2001-04-02	seqscan	768.38	1521317888	REL7_1~45	2016-02-20T10:26:12	1485662	REL7_1~45
2001-04-02	seqscan	768.08	1521317888	REL7_1~45	2016-02-20T10:26:12	1485662	REL7_1~45
2001-04-02	sort_text	100626.01	1521317888	REL7_1~45	2016-02-20T10:26:12	1485662	REL7_1~45
2001-04-02	sort_integer	13627.01	1521317888	REL7_1~45	2016-02-20T10:26:12	1485662	REL7_1~45
2001-04-02	sort_float	13704.4	1521317888	REL7_1~45	2016-02-20T10:26:12	228306	REL7_1~45
2001-04-02	sort_text	90563.65	1521317888	REL7_1~45	2016-02-20T10:26:12	1485662	REL7_1~45
2001-04-02	sort_integer	13523.16	1521317888	REL7_1~45	2016-02-20T10:26:12	1485662	REL7_1~45
2001-04-02	sort_float	13678.77	1521317888	REL7_1~45	2016-02-20T10:26:12	228306	REL7_1~45
2001-04-02	sort_t100	90277.42	1521317888	REL7_1~45	2016-02-20T10:26:12	100	REL7_1~45
2001-04-02	sort_t100	90176.51	1521317888	REL7_1~45	2016-02-20T10:26:12	100	REL7_1~45
2001-04-02	seqscan	500.66	1521317888	REL7_1~45	2016-02-20T16:41:52	1485662	REL7_1~45
2001-04-02	seqscan	502.09	1521317888	REL7_1~45	2016-02-20T16:41:52	1485662	REL7_1~45
2001-04-02	sort_text	87378.9	1521317888	REL7_1~45	2016-02-20T16:41:52	1485662	REL7_1~45
2001-04-02	sort_integer	11854.22	1521317888	REL7_1~45	2016-02-20T16:41:52	1485662	REL7_1~45
2001-04-02	sort_float	11444.33	1521317888	REL7_1~45	2016-02-20T16:41:52	228306	REL7_1~45
2001-04-02	sort_text	84575.33	1521317888	REL7_1~45	2016-02-20T16:41:52	1485662	REL7_1~45
2001-04-02	sort_integer	12029.54	1521317888	REL7_1~45	2016-02-20T16:41:52	1485662	REL7_1~45
2001-04-02	sort_float	12111.91	1521317888	REL7_1~45	2016-02-20T16:41:52	228306	REL7_1~45
2001-04-02	sort_t100	84239.78	1521317888	REL7_1~45	2016-02-20T16:41:52	100	REL7_1~45
2001-04-02	sort_t100	84493.63	1521317888	REL7_1~45	2016-02-20T16:41:52	100	REL7_1~45
2001-04-02	seqscan	513.31	1521317888	REL7_1~45	2016-02-22T01:19:10	1485662	REL7_1~45
2001-04-02	seqscan	510.17	1521317888	REL7_1~45	2016-02-22T01:19:10	1485662	REL7_1~45
2001-04-02	seqscan	510.48	1521317888	REL7_1~45	2016-02-22T01:19:10	1485662	REL7_1~45
2001-04-02	sort_text	95751.51	1521317888	REL7_1~45	2016-02-22T01:19:10	1485662	REL7_1~45
2001-04-02	sort_integer	12078.64	1521317888	REL7_1~45	2016-02-22T01:19:10	1485662	REL7_1~45
2001-04-02	sort_float	11552.6	1521317888	REL7_1~45	2016-02-22T01:19:10	228306	REL7_1~45
2001-04-02	sort_text	86240.35	1521317888	REL7_1~45	2016-02-22T01:19:10	1485662	REL7_1~45
2001-04-02	sort_integer	12014.07	1521317888	REL7_1~45	2016-02-22T01:19:10	1485662	REL7_1~45
2001-04-02	sort_float	12189.21	1521317888	REL7_1~45	2016-02-22T01:19:10	228306	REL7_1~45
2001-04-02	sort_integer	13196.3	1521317888	REL7_1~45	2016-02-22T01:19:10	1485662	REL7_1~45
2001-04-02	sort_float	11969.25	1521317888	REL7_1~45	2016-02-22T01:19:10	228306	REL7_1~45
2001-04-02	sort_text	86073.83	1521317888	REL7_1~45	2016-02-22T01:19:10	1485662	REL7_1~45
2001-04-02	sort_t100	85830.86	1521317888	REL7_1~45	2016-02-22T01:19:10	100	REL7_1~45
2001-04-02	sort_t100	85774.92	1521317888	REL7_1~45	2016-02-22T01:19:10	100	REL7_1~45
2001-04-02	sort_t100	86567.11	1521317888	REL7_1~45	2016-02-22T01:19:10	100	REL7_1~45
2001-04-02	seqscan	525.21	1521317888	REL7_1~45	2016-02-22T01:29:24	1485662	REL7_1~45
2001-04-02	seqscan	523.9	1521317888	REL7_1~45	2016-02-22T01:29:24	1485662	REL7_1~45
2001-04-02	seqscan	523.08	1521317888	REL7_1~45	2016-02-22T01:29:24	1485662	REL7_1~45
2001-04-02	sort_text	95676.13	1521317888	REL7_1~45	2016-02-22T01:29:24	1485662	REL7_1~45
2001-04-02	sort_integer	12071	1521317888	REL7_1~45	2016-02-22T01:29:24	1485662	REL7_1~45
2001-04-02	sort_float	12272.64	1521317888	REL7_1~45	2016-02-22T01:29:24	228306	REL7_1~45
2001-04-02	sort_text	87455.46	1521317888	REL7_1~45	2016-02-22T01:29:24	1485662	REL7_1~45
2001-04-02	sort_integer	12071.05	1521317888	REL7_1~45	2016-02-22T01:29:24	1485662	REL7_1~45
2001-04-02	sort_float	12103.02	1521317888	REL7_1~45	2016-02-22T01:29:24	228306	REL7_1~45
2001-04-02	sort_integer	12057.46	1521317888	REL7_1~45	2016-02-22T01:29:24	1485662	REL7_1~45
2001-04-02	sort_float	12164.26	1521317888	REL7_1~45	2016-02-22T01:29:24	228306	REL7_1~45
